gene_name	Role	MM.driver	n_syn	n_mis	n_non	n_spl	n_ind	qglobal_cv	Frequency	DNDS	DNDS.restr	MUTSIG	ONCODRIVER	FISHHOOK	n.CallBy	CallBy	Tumor_Type	Role_in_Cancer
KLHL6	Unknown	MM	5	47	2	3	1	3.43e-11	0.035648433	1	1	0	0	1	3	DNDS|DNDr|||FISH	NA	NA
KLRG2	NA	0	NA	NA	NA	NA	NA	NA	0.004917025	0	0	0	0	1	1	||||FISH	NA	NA
KMT2B	TSG	MM	4	31	10	2	1	0.000240995	0.029502151	1	1	0	1	0	3	DNDS|DNDr||ONCO|	NA	NA
KMT2C	TSG	MM	6	43	3	3	4	0.96481609	0.036263061	0	0	0	0	0	0	||||	medulloblastoma	TSG
KRAS	Oncogene	MM	2	443	0	0	1	0	0.274124155	1	1	1	1	1	5	DNDS|DNDr|MUTS|ONCO|FISH	pancreatic, colorectal, lung, thyroid, AML, other tumour types	oncogene
KRTAP9-2	NA	0	0	8	0	0	0	0.000865586	0.004917025	1	0	0	0	0	1	DNDS||||	NA	NA
LCE1D	Unknown	MM	0	3	0	0	1	0.332059403	0.002458513	0	0	0	0	0	0	||||	NA	NA
LCE1E	NA	0	NA	NA	NA	NA	NA	NA	0.005531653	0	0	0	0	1	1	||||FISH	NA	NA
LCMT1	NA	0	NA	NA	NA	NA	NA	NA	0.003073141	0	0	1	0	0	1	||MUTS||	NA	NA
LILRA3	NA	0	1	14	0	0	1	0.043098815	0.00983405	1	0	0	0	0	1	DNDS||||	NA	NA
LILRA6	NA	0	1	19	1	0	0	0.003018267	0.012907191	1	0	0	0	0	1	DNDS||||	NA	NA
LIMD2	NA	0	NA	NA	NA	NA	NA	NA	0.003687769	0	0	0	0	1	1	||||FISH	NA	NA
LRRTM4	NA	0	NA	NA	NA	NA	NA	NA	0.015980332	0	0	1	0	0	1	||MUTS||	NA	NA
LTB	Unknown	MM	15	40	4	15	0	0	0.045482483	1	1	0	0	1	3	DNDS|DNDr|||FISH	NA	NA
MAF	Oncogene	MM	7	23	0	0	0	0.142752697	0.018438844	0	0	0	0	0	0	||||	MM	oncogene, fusion
MAFB	Oncogene	MM	2	8	0	0	0	0.999999883	0.006146281	0	0	0	0	0	0	||||	MM	oncogene, fusion
MAG	NA	0	2	11	4	0	2	0.091706366	0.011677935	1	0	0	0	0	1	DNDS||||	NA	NA
MAGED1	NA	0	1	5	5	0	2	0.091706366	0.007990166	1	0	0	0	0	1	DNDS||||	NA	NA
MAML2	Oncogene	MM	9	10	1	0	3	0.999999883	0.014136447	0	0	0	0	0	0	||||	salivary gland mucoepidermoid	oncogene, fusion
MAN2C1	Unknown	MM	2	17	0	0	0	0.677271289	0.011677935	0	0	0	0	0	0	||||	NA	NA
MAP3K1	NA	0	0	4	4	0	4	0.3179698	0.007375538	0	1	0	0	0	1	|DNDr|||	luminal A breast	oncogene, TSG
MAX	TSG	MM	0	45	8	2	3	0	0.035648433	1	1	0	1	0	3	DNDS|DNDr||ONCO|	pheochromocytoma, endometrioid carcinoma, colon carcinoma	TSG
MGARP	NA	0	NA	NA	NA	NA	NA	NA	0.003687769	0	0	0	1	0	1	|||ONCO|	NA	NA
MRGPRX4	NA	0	1	7	4	0	0	0.049957625	0.007375538	1	0	1	0	0	2	DNDS||MUTS||	NA	NA
MYO1E	NA	0	3	12	1	9	1	0.003018267	0.015980332	1	0	0	0	0	1	DNDS||||	NA	NA
NCOR1	TSG	MM	3	15	4	2	2	0.902145469	0.015980332	0	0	0	0	0	0	||||	breast	TSG
NDUFC2	NA	0	0	2	0	0	4	0.045667456	0.003687769	1	0	0	0	1	2	DNDS||||FISH	NA	NA
NDUFC2-KCTD14	NA	0	NA	NA	NA	NA	NA	NA	0.011063307	0	0	0	0	1	1	||||FISH	NA	NA
NF1	TSG	MM	5	15	5	4	9	0.039925792	0.02335587	1	1	0	0	0	2	DNDS|DNDr|||	neurofibroma, glioma	TSG, fusion
NFKB2	Oncogene	MM	5	30	5	1	2	0.000110161	0.02642901	1	1	0	0	0	2	DNDS|DNDr|||	B-NHL	oncogene, TSG, fusion
NFKBIA	TSG	MM	0	7	12	3	8	0	0.018438844	1	1	0	1	1	4	DNDS|DNDr||ONCO|FISH	NA	NA
NRAS	Oncogene	MM	1	350	0	0	0	0	0.215734481	1	1	1	1	1	5	DNDS|DNDr|MUTS|ONCO|FISH	melanoma, MM, AML, thyroid	oncogene
NUSAP1	NA	0	0	2	0	0	6	0.075758775	0.004917025	1	0	0	0	0	1	DNDS||||	NA	NA
OR7E24	NA	0	2	4	0	0	5	0.063904054	0.00676091	1	0	0	0	0	1	DNDS||||	NA	NA
PABPC1	Unknown	MM	5	34	0	3	3	2.14e-06	0.027658267	1	1	0	0	1	3	DNDS|DNDr|||FISH	HNSCC, biliary tract carcinoma	oncogene, TSG
PANK3	NA	0	1	13	1	1	0	0.01483086	0.00983405	1	0	1	0	0	2	DNDS||MUTS||	NA	NA
PCDH10	NA	0	7	30	0	0	3	0.062719492	0.024585126	1	0	0	0	0	1	DNDS||||	NA	NA
PIK3CA	Oncogene	MM	4	10	0	0	0	0.999999883	0.008604794	0	0	0	0	0	0	||||	colorectal, gastric, glioblastoma, breast	oncogene
PIM1	Oncogene	MM	5	22	1	0	0	0.003687621	0.017209588	1	0	0	0	0	1	DNDS||||	NHL	oncogene, fusion
POT1	TSG	MM	0	20	2	1	1	0.000789964	0.014751076	1	1	0	0	0	2	DNDS|DNDr|||	CLL	TSG
PRDM1	TSG	MM	4	23	5	0	5	0.00011662	0.022741242	1	1	0	1	1	4	DNDS|DNDr||ONCO|FISH	DLBCL	TSG
PRKD2	Unknown	MM	2	49	0	0	1	6.49e-12	0.031960664	1	1	1	1	0	4	DNDS|DNDr|MUTS|ONCO|	NA	NA
PRKRA	NA	0	1	2	0	9	0	2.95e-07	0.007375538	1	0	0	0	0	1	DNDS||||	NA	NA
PSMC5	NA	0	0	15	1	0	0	0.01483086	0.00983405	1	0	0	0	0	1	DNDS||||	NA	NA
PTH2	NA	0	0	17	0	0	4	8.05e-12	0.012907191	1	0	0	0	0	1	DNDS||||	NA	NA
PTPN11	Oncogene	MM	0	41	0	0	0	0	0.025199754	1	1	1	1	1	5	DNDS|DNDr|MUTS|ONCO|FISH	JMML, AML, MDS	oncogene
RANBP2	NA	0	17	11	1	0	1	0.002121995	0.018438844	0	1	0	0	0	1	|DNDr|||	inflammatory myofibroblastic tumour	TSG, fusion
RASA2	TSG	MM	0	10	4	2	7	0.000181932	0.014136447	1	1	0	1	0	3	DNDS|DNDr||ONCO|	NA	NA
RB1	TSG	MM	1	5	14	5	11	0	0.022126613	1	1	0	1	0	3	DNDS|DNDr||ONCO|	retinoblastoma, sarcoma, breast, small cell lung carcinoma	TSG
RBMS1	NA	0	0	1	1	0	8	0.012323419	0.006146281	1	0	0	0	0	1	DNDS||||	NA	NA
RBMX	NA	0	3	12	0	0	7	7.24e-05	0.013521819	1	0	0	0	0	1	DNDS||||	NA	NA
RET	NA	0	0	21	0	0	0	0.00621647	0.012907191	0	1	0	0	0	1	|DNDr|||	medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour	oncogene, fusion
RFTN1	Unknown	MM	9	20	4	3	0	0.004012026	0.022126613	1	0	0	0	1	2	DNDS||||FISH	NA	NA
RILPL1	NA	0	NA	NA	NA	NA	NA	NA	0.004302397	0	0	0	1	0	1	|||ONCO|	NA	NA
RNF145	NA	0	3	1	0	1	10	0.014472639	0.009219422	1	0	0	0	0	1	DNDS||||	NA	NA
RP11-181C3.1	NA	0	0	1	0	0	5	0.002797877	0.003687769	1	0	0	0	0	1	DNDS||||	NA	NA
RPL10	TSG	MM	2	19	0	0	0	0.000593041	0.012907191	1	1	0	0	1	3	DNDS|DNDr|||FISH	T-ALL	TSG
RPL5	TSG	MM	1	10	0	2	5	0.001668684	0.011063307	1	1	0	0	0	2	DNDS|DNDr|||	T-ALL	TSG
RPRD1B	Unknown	MM	1	14	1	0	1	0.003208132	0.010448679	1	1	0	0	0	2	DNDS|DNDr|||	NA	NA
RPS3A	Unknown	MM	0	13	0	0	0	0.012970163	0.007990166	1	1	1	0	0	3	DNDS|DNDr|MUTS||	NA	NA
RTN2	NA	0	1	11	3	1	1	0.067025819	0.010448679	1	0	0	0	0	1	DNDS||||	NA	NA
RTP1	NA	0	NA	NA	NA	NA	NA	NA	0.005531653	0	0	1	0	0	1	||MUTS||	NA	NA
SAMHD1	Unknown	MM	0	30	2	4	4	2.65e-10	0.024585126	1	1	0	1	1	4	DNDS|DNDr||ONCO|FISH	NA	NA
SCAF8	NA	0	4	10	6	3	2	0.015459311	0.015365704	1	0	0	0	0	1	DNDS||||	NA	NA
SDK2	NA	0	3	35	0	0	2	0.015459311	0.024585126	1	0	0	0	0	1	DNDS||||	NA	NA
SETD2	TSG	MM	8	25	8	1	6	0.136572148	0.029502151	0	0	0	0	0	0	||||	clear cell renal carcinoma	TSG
SF3B1	Oncogene	MM	1	24	0	0	0	0.049957625	0.015365704	1	1	0	0	0	2	DNDS|DNDr|||	myelodysplastic syndrome	oncogene
SF3B3	NA	0	NA	NA	NA	NA	NA	NA	0.014136447	0	0	0	1	0	1	|||ONCO|	NA	NA
SLC22A6	NA	0	NA	NA	NA	NA	NA	NA	0.004917025	0	0	0	1	0	1	|||ONCO|	NA	NA
SLC35G5	NA	0	0	19	0	0	0	0.004103223	0.011677935	1	0	0	0	1	2	DNDS||||FISH	NA	NA
SP140	TSG	MM	2	21	13	5	8	2.12e-13	0.030116779	1	1	0	1	0	3	DNDS|DNDr||ONCO|	NA	NA
SUB1	NA	0	NA	NA	NA	NA	NA	NA	0.003073141	0	0	1	0	0	1	||MUTS||	NA	NA
SYT17	NA	0	0	4	5	2	0	0.002595445	0.00676091	1	0	0	1	0	2	DNDS|||ONCO|	NA	NA
TAS2R43	NA	0	0	6	3	0	0	0.039023713	0.005531653	1	0	0	0	0	1	DNDS||||	NA	NA
TBC1D29	Unknown	MM	2	20	0	0	0	1.18e-09	0.013521819	1	1	0	0	1	3	DNDS|DNDr|||FISH	NA	NA
TBP	NA	0	0	1	0	0	9	0.001132906	0.006146281	1	0	0	0	0	1	DNDS||||	NA	NA
TCL1A	Oncogene	MM	5	23	0	2	1	3.43e-11	0.019053473	1	1	0	0	0	2	DNDS|DNDr|||	T-CLL	oncogene, fusion
TET2	TSG	MM	2	15	5	0	6	0.292784343	0.017209588	0	0	0	1	0	1	|||ONCO|	MDS	TSG
TGDS	TSG	MM	0	15	1	2	2	7.28e-06	0.012292563	1	1	0	0	0	2	DNDS|DNDr|||	NA	NA
TGFBR2	NA	0	0	6	2	1	2	0.04364459	0.00676091	0	1	0	0	0	1	|DNDr|||	head and neck, colorectal	TSG
TMEM60	NA	0	NA	NA	NA	NA	NA	NA	0.007375538	0	0	0	0	1	1	||||FISH	NA	NA
TMIE	NA	0	0	2	0	0	4	0.044671666	0.003687769	1	0	0	0	0	1	DNDS||||	NA	NA
TNC	NA	0	3	33	3	3	1	0.001989724	0.02642901	0	1	0	0	0	1	|DNDr|||	SCC, melanoma	oncogene
TNFAIP6	NA	0	0	4	0	0	4	0.096404431	0.004917025	1	0	0	0	0	1	DNDS||||	NA	NA
TNFRSF11B	NA	0	0	3	6	0	1	0.006171669	0.006146281	1	0	1	1	0	3	DNDS||MUTS|ONCO|	NA	NA
TOMM7	NA	0	0	3	0	0	3	0.082253349	0.003687769	1	0	0	0	0	1	DNDS||||	NA	NA
TP53	TSG	MM	1	69	4	5	6	0	0.052243393	1	1	0	1	0	3	DNDS|DNDr||ONCO|	breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types	oncogene, TSG, fusion
TRAF2	TSG	MM	0	11	13	2	5	0	0.019053473	1	1	1	1	0	4	DNDS|DNDr|MUTS|ONCO|	NA	NA
TRAF3	TSG	MM	2	61	40	9	31	0	0.087891825	1	1	0	1	1	4	DNDS|DNDr||ONCO|FISH	NA	NA
TRIAP1	NA	0	NA	NA	NA	NA	NA	NA	0.001229256	0	0	1	0	0	1	||MUTS||	NA	NA
TRIM73	NA	0	NA	NA	NA	NA	NA	NA	0.004302397	0	0	0	0	1	1	||||FISH	NA	NA
UBB	NA	0	NA	NA	NA	NA	NA	NA	0.011063307	0	0	0	0	1	1	||||FISH	NA	NA
UBE4A	NA	0	0	5	0	0	11	0.071202876	0.00983405	1	0	0	0	0	1	DNDS||||	NA	NA
UBR5	TSG	MM	4	29	8	2	9	0.016545189	0.031960664	1	1	0	0	0	2	DNDS|DNDr|||	mantle cell lymphoma, gastric, colorectal	oncogene
ULK1	NA	0	NA	NA	NA	NA	NA	NA	0.007375538	0	0	0	1	0	1	|||ONCO|	NA	NA
UQCR10	NA	0	NA	NA	NA	NA	NA	NA	0.003687769	0	0	0	0	1	1	||||FISH	NA	NA
USP7	NA	0	1	22	6	0	1	0.010366605	0.018438844	1	0	1	0	0	2	DNDS||MUTS||	NA	NA
